Breakfast,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G)

"Chick-fil-A® Chicken Biscuit




							153g
						

							460
						

							23
						

							8
						

							0
						

							45
						

							1510
						

							45
						

							2
						

							6
						

							19
						






										Chick-fil-A® Chicken Biscuit
									


									153g
								

									460
								

									23
								

									8
								

									0
								

									45
								

									1510
								

									45
								

									2
								

									6
								

									19",Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6
Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6,19
Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6,19
"Spicy Chicken Biscuit




							153g
						

							450
						

							22
						

							8
						

							0
						

							40
						

							1570
						

							44
						

							2
						

							5
						

							19
						






										Spicy Chicken Biscuit
									


									153g
								

									450
								

									22
								

									8
								

									0
								

									40
								

									1570
								

									44
								

									2
								

									5
								

									19",Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5
Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5,19
Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5,19
"Chick-fil-A Chick-n-Minis™




							127g
						

							360
						

							13
						

							4
						

							0
						

							60
						

							1060
						

							41
						

							2
						

							8
						

							20
						






										4 ct Chick-fil-A Chick-n-Minis™
									


									127g
								

									360
								

									13
								

									4
								

									0
								

									60
								

									1060
								

									41
								

									2
								

									8
								

									20
								




										10 ct Chick-fil-A Chick-n-Minis™
									


									318g
								

									910
								

									34
								

									10
								

									0
								

									150
								

									2640
								

									103
								

									6
								

									19
								

									49
								




										10 ct Chick-fil-A Chick-n-Minis™ Football-Shaped Tray
									


									318g
								

									910
								

									34
								

									10
								

									0
								

									150
								

									2640
								

									103
								

									6
								

									19
								

									49",Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8
Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8,20
4 ct Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8,20
10 ct Chick-fil-A Chick-n-Minis™,318g,910,34,10,0,150,2640,103,6,19,49
10 ct Chick-fil-A Chick-n-Minis™ Football-Shaped Tray,318g,910,34,10,0,150,2640,103,6,19,49
"Egg White Grill




							175g
						

							300
						

							8
						

							4
						

							0
						

							65
						

							1020
						

							31
						

							2
						

							2
						

							28
						






										Egg White Grill
									


									175g
								

									300
								

									8
								

									4
								

									0
								

									65
								

									1020
								

									31
								

									2
								

									2
								

									28",Egg White Grill,175g,300,8,4,0,65,1020,31,2,2
Egg White Grill,175g,300,8,4,0,65,1020,31,2,2,28
Egg White Grill,175g,300,8,4,0,65,1020,31,2,2,28
"Hash Brown Scramble Burrito




							304g
						

							700
						

							40
						

							12
						

							0.5
						

							415
						

							1770
						

							51
						

							3
						

							2
						

							34
						






										Hash Brown Scramble Burrito w/ Nuggets
									


									304g
								

									700
								

									40
								

									12
								

									0.5
								

									415
								

									1770
								

									51
								

									3
								

									2
								

									34
								




										Hash Brown Scramble Burrito w/  Sausage
									


									283g
								

									720
								

									47
								

									16
								

									0.5
								

									395
								

									1450
								

									46
								

									3
								

									1
								

									28
								




										Hash Brown Scramble Burrito w/ Grilled Filet
									


									304g
								

									650
								

									36
								

									12
								

									0.5
								

									420
								

									1650
								

									46
								

									3
								

									2
								

									36
								




										Hash Brown Scramble Burrito w/ Spicy Chicken
									


									266g
								

									660
								

									37
								

									11
								

									0.5
								

									250
								

									1750
								

									54
								

									3
								

									2
								

									28
								




										Hash Brown Scramble Burrito w/ Bacon
									


									271g
								

									680
								

									42
								

									14
								

									0.5
								

									395
								

									1630
								

									46
								

									3
								

									2
								

									30
								




										Hash Brown Scramble Burrito w/ No Meat
									


									251g
								

									580
								

									34
								

									11
								

									0.5
								

									330
								

									1200
								

									47
								

									5
								

									1
								

									22
								




										Hash Brown Scramble Burrito w/ Nuggets - no hash browns
									


									261g
								

									550
								

									30
								

									11
								

									0.5
								

									415
								

									1530
								

									38
								

									2
								

									2
								

									33
								




										Hash Brown Scramble Burrito w/ Sausage - no hash browns
									


									240g
								

									570
								

									37
								

									14
								

									0.5
								

									395
								

									1200
								

									34
								

									2
								

									1
								

									26
								




										Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown
									


									261g
								

									500
								

									26
								

									10
								

									0.5
								

									420
								

									1410
								

									34
								

									2
								

									2
								

									35
								




										Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns
									


									223g
								

									510
								

									27
								

									10
								

									0.5
								

									250
								

									1510
								

									41
								

									2
								

									2
								

									27
								




										Hash Brown Scramble Burrito w/ Bacon - no hash browns
									


									228g
								

									540
								

									32
								

									13
								

									0.5
								

									395
								

									1380
								

									34
								

									2
								

									2
								

									29
								




										Hash Brown Scramble Burrito w/ No Meat - no hash browns
									


									208g
								

									440
								

									24
								

									10
								

									0.5
								

									330
								

									950
								

									35
								

									3
								

									1
								

									21",Hash Brown Scramble Burrito,304g,700,40,12,0.5,415,1770,51,3,2
Hash Brown Scramble Burrito,304g,700,40,12,0.5,415,1770,51,3,2,34
Hash Brown Scramble Burrito w/ Nuggets,304g,700,40,12,0.5,415,1770,51,3,2,34
Hash Brown Scramble Burrito w/  Sausage,283g,720,47,16,0.5,395,1450,46,3,1,28
Hash Brown Scramble Burrito w/ Grilled Filet,304g,650,36,12,0.5,420,1650,46,3,2,36
Hash Brown Scramble Burrito w/ Spicy Chicken,266g,660,37,11,0.5,250,1750,54,3,2,28
Hash Brown Scramble Burrito w/ Bacon,271g,680,42,14,0.5,395,1630,46,3,2,30
Hash Brown Scramble Burrito w/ No Meat,251g,580,34,11,0.5,330,1200,47,5,1,22
Hash Brown Scramble Burrito w/ Nuggets - no hash browns,261g,550,30,11,0.5,415,1530,38,2,2,33
Hash Brown Scramble Burrito w/ Sausage - no hash browns,240g,570,37,14,0.5,395,1200,34,2,1,26
Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,261g,500,26,10,0.5,420,1410,34,2,2,35
Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns,223g,510,27,10,0.5,250,1510,41,2,2,27
Hash Brown Scramble Burrito w/ Bacon - no hash browns,228g,540,32,13,0.5,395,1380,34,2,2,29
Hash Brown Scramble Burrito w/ No Meat - no hash browns,208g,440,24,10,0.5,330,950,35,3,1,21
"Hash Brown Scramble Bowl




							233g
						

							470
						

							30
						

							9
						

							0
						

							415
						

							1350
						

							19
						

							2
						

							2
						

							29
						






										Hash Brown Scramble Bowl w/ Nuggets
									


									233g
								

									470
								

									30
								

									9
								

									0
								

									415
								

									1350
								

									19
								

									2
								

									2
								

									29
								




										Hash Brown Scramble Bowl w/ Sausage
									


									212g
								

									480
								

									37
								

									12
								

									0
								

									395
								

									1020
								

									15
								

									2
								

									1
								

									23
								




										Hash Brown Scramble Bowl w/ Grilled Filet
									


									233g
								

									420
								

									26
								

									8
								

									0
								

									420
								

									1230
								

									15
								

									2
								

									2
								

									31
								




										Hash Brown Scramble Bowl w/ Spicy Chicken
									


									240g
								

									490
								

									32
								

									9
								

									0
								

									410
								

									1470
								

									22
								

									2
								

									2
								

									28
								




										Hash Brown Scramble Bowl w/ Bacon
									


									200g
								

									450
								

									32
								

									11
								

									0
								

									395
								

									1200
								

									15
								

									2
								

									2
								

									25
								




										Hash Brown Scramble Bowl w/ No Meat
									


									180g
								

									350
								

									24
								

									8
								

									0
								

									330
								

									770
								

									16
								

									3
								

									1
								

									17
								




										Hash Brown Scramble Bowl w/ Nuggets - no hash browns
									


									190g
								

									320
								

									20
								

									8
								

									0
								

									415
								

									1100
								

									7
								

									0
								

									2
								

									28
								




										Hash Brown Scramble Bowl w/ Sausage - no hash browns
									


									169g
								

									340
								

									27
								

									11
								

									0
								

									395
								

									780
								

									2
								

									0
								

									1
								

									21
								




										Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns
									


									190g
								

									270
								

									16
								

									7
								

									0
								

									420
								

									980
								

									2
								

									1
								

									2
								

									30
								




										Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns
									


									197g
								

									340
								

									21
								

									8
								

									0
								

									410
								

									1230
								

									10
								

									1
								

									2
								

									27
								




										Hash Brown Scramble Bowl w/ Bacon - no hash browns
									


									158g
								

									300
								

									22
								

									9
								

									0
								

									395
								

									960
								

									2
								

									0
								

									2
								

									24
								




										Hash Brown Scramble Bowl w/ No Meat - no hash browns
									


									194g
								

									330
								

									20
								

									7
								

									0
								

									375
								

									1140
								

									9
								

									2
								

									2
								

									29",Hash Brown Scramble Bowl,233g,470,30,9,0,415,1350,19,2,2
Hash Brown Scramble Bowl,233g,470,30,9,0,415,1350,19,2,2,29
Hash Brown Scramble Bowl w/ Nuggets,233g,470,30,9,0,415,1350,19,2,2,29
Hash Brown Scramble Bowl w/ Sausage,212g,480,37,12,0,395,1020,15,2,1,23
Hash Brown Scramble Bowl w/ Grilled Filet,233g,420,26,8,0,420,1230,15,2,2,31
Hash Brown Scramble Bowl w/ Spicy Chicken,240g,490,32,9,0,410,1470,22,2,2,28
Hash Brown Scramble Bowl w/ Bacon,200g,450,32,11,0,395,1200,15,2,2,25
Hash Brown Scramble Bowl w/ No Meat,180g,350,24,8,0,330,770,16,3,1,17
Hash Brown Scramble Bowl w/ Nuggets - no hash browns,190g,320,20,8,0,415,1100,7,0,2,28
Hash Brown Scramble Bowl w/ Sausage - no hash browns,169g,340,27,11,0,395,780,2,0,1,21
Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,190g,270,16,7,0,420,980,2,1,2,30
Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns,197g,340,21,8,0,410,1230,10,1,2,27
Hash Brown Scramble Bowl w/ Bacon - no hash browns,158g,300,22,9,0,395,960,2,0,2,24
Hash Brown Scramble Bowl w/ No Meat - no hash browns,194g,330,20,7,0,375,1140,9,2,2,29
"Chicken, Egg & Cheese Biscuit




							211g
						

							550
						

							28
						

							12
						

							0
						

							215
						

							1870
						

							48
						

							3
						

							7
						

							27
						






										Chicken, Egg & Cheese Biscuit
									


									211g
								

									550
								

									28
								

									12
								

									0
								

									215
								

									1870
								

									48
								

									3
								

									7
								

									27","Chicken, Egg & Cheese Biscuit",211g,550,28,12,0,215,1870,48,3,7
"Chicken, Egg & Cheese Biscuit",211g,550,28,12,0,215,1870,48,3,7,27
"Chicken, Egg & Cheese Biscuit",211g,550,28,12,0,215,1870,48,3,7,27
"Bacon, Egg & Cheese Biscuit




							145g
						

							420
						

							23
						

							11
						

							0
						

							180
						

							1290
						

							38
						

							2
						

							5
						

							16
						






										Bacon, Egg & Cheese Biscuit
									


									145g
								

									420
								

									23
								

									11
								

									0
								

									180
								

									1290
								

									38
								

									2
								

									5
								

									16","Bacon, Egg & Cheese Biscuit",145g,420,23,11,0,180,1290,38,2,5
"Bacon, Egg & Cheese Biscuit",145g,420,23,11,0,180,1290,38,2,5,16
"Bacon, Egg & Cheese Biscuit",145g,420,23,11,0,180,1290,38,2,5,16
"Sausage, Egg & Cheese Biscuit




							192g
						

							620
						

							42
						

							18
						

							0
						

							205
						

							1510
						

							38
						

							2
						

							4
						

							22
						






										Sausage, Egg & Cheese Biscuit
									


									192g
								

									620
								

									42
								

									18
								

									0
								

									205
								

									1510
								

									38
								

									2
								

									4
								

									22","Sausage, Egg & Cheese Biscuit",192g,620,42,18,0,205,1510,38,2,4
"Sausage, Egg & Cheese Biscuit",192g,620,42,18,0,205,1510,38,2,4,22
"Sausage, Egg & Cheese Biscuit",192g,620,42,18,0,205,1510,38,2,4,22
"Chicken, Egg & Cheese Muffin




							190g
						

							420
						

							19
						

							6
						

							0
						

							215
						

							1350
						

							37
						

							1
						

							4
						

							27
						






										Chicken, Egg & Cheese Muffin
									


									190g
								

									420
								

									19
								

									6
								

									0
								

									215
								

									1350
								

									37
								

									1
								

									4
								

									27","Chicken, Egg & Cheese Muffin",190g,420,19,6,0,215,1350,37,1,4
"Chicken, Egg & Cheese Muffin",190g,420,19,6,0,215,1350,37,1,4,27
"Chicken, Egg & Cheese Muffin",190g,420,19,6,0,215,1350,37,1,4,27
"Bacon, Egg & Cheese Muffin




							129g
						

							310
						

							13
						

							6
						

							0
						

							180
						

							800
						

							30
						

							2
						

							2
						

							17
						






										Bacon, Egg & Cheese Muffin
									


									129g
								

									310
								

									13
								

									6
								

									0
								

									180
								

									800
								

									30
								

									2
								

									2
								

									17","Bacon, Egg & Cheese Muffin",129g,310,13,6,0,180,800,30,2,2
"Bacon, Egg & Cheese Muffin",129g,310,13,6,0,180,800,30,2,2,17
"Bacon, Egg & Cheese Muffin",129g,310,13,6,0,180,800,30,2,2,17
"Sausage, Egg & Cheese Muffin




							175g
						

							500
						

							33
						

							12
						

							0
						

							205
						

							1030
						

							30
						

							1
						

							2
						

							23
						






										Sausage, Egg & Cheese Muffin
									


									175g
								

									500
								

									33
								

									12
								

									0
								

									205
								

									1030
								

									30
								

									1
								

									2
								

									23","Sausage, Egg & Cheese Muffin",175g,500,33,12,0,205,1030,30,1,2
"Sausage, Egg & Cheese Muffin",175g,500,33,12,0,205,1030,30,1,2,23
"Sausage, Egg & Cheese Muffin",175g,500,33,12,0,205,1030,30,1,2,23
"Hash Browns




							77g
						

							270
						

							18
						

							2.5
						

							0
						

							0
						

							440
						

							23
						

							3
						

							0
						

							3
						






										Small Hash Browns
									


									77g
								

									270
								

									18
								

									2.5
								

									0
								

									0
								

									440
								

									23
								

									3
								

									0
								

									3
								




										Large Hash Browns
									


									121g
								

									420
								

									29
								

									4
								

									0
								

									0
								

									700
								

									35
								

									4
								

									0
								

									4",Hash Browns,77g,270,18,2.5,0,0,440,23,3,0
Hash Browns,77g,270,18,2.5,0,0,440,23,3,0,3
Small Hash Browns,77g,270,18,2.5,0,0,440,23,3,0,3
Large Hash Browns,121g,420,29,4,0,0,700,35,4,0,4
"Greek Yogurt Parfait




							221g
						

							270
						

							9
						

							3.5
						

							0
						

							20
						

							80
						

							36
						

							1
						

							26
						

							13
						






										Greek Yogurt Parfait w/ Cookie Crumbs
									


									195g
								

									240
								

									8
								

									3.5
								

									0
								

									20
								

									85
								

									31
								

									1
								

									25
								

									12
								




										Greek Yogurt Parfait w/ Granola
									


									221g
								

									270
								

									9
								

									3.5
								

									0
								

									20
								

									80
								

									36
								

									1
								

									26
								

									13",Greek Yogurt Parfait,221g,270,9,3.5,0,20,80,36,1,26
Greek Yogurt Parfait,221g,270,9,3.5,0,20,80,36,1,26,13
Greek Yogurt Parfait w/ Cookie Crumbs,195g,240,8,3.5,0,20,85,31,1,25,12
Greek Yogurt Parfait w/ Granola,221g,270,9,3.5,0,20,80,36,1,26,13
"Fruit Cup




							125g
						

							70
						

							0
						

							0
						

							0
						

							0
						

							0
						

							16
						

							2
						

							12
						

							1
						






										Small Fruit Cup
									


									107g
								

									60
								

									0
								

									0
								

									0
								

									0
								

									0
								

									14
								

									2
								

									11
								

									1
								




										Medium Fruit Cup
									


									125g
								

									70
								

									0
								

									0
								

									0
								

									0
								

									0
								

									16
								

									2
								

									12
								

									1",Fruit Cup,125g,70,0,0,0,0,0,16,2,12
Fruit Cup,125g,70,0,0,0,0,0,16,2,12,1
Small Fruit Cup,107g,60,0,0,0,0,0,14,2,11,1
Medium Fruit Cup,125g,70,0,0,0,0,0,16,2,12,1
"Breakfast Breads




							81g
						

							290
						

							15
						

							6
						

							0
						

							0
						

							760
						

							37
						

							2
						

							4
						

							4
						






										Buttered Biscuit
									


									81g
								

									290
								

									15
								

									6
								

									0
								

									0
								

									760
								

									37
								

									2
								

									4
								

									4
								




										English Muffin
									


									61g
								

									140
								

									2
								

									0
								

									0
								

									0
								

									220
								

									29
								

									1
								

									1
								

									5
								




										4 ct Mini Yeast Rolls
									


									70g
								

									240
								

									8
								

									2.5
								

									0
								

									20
								

									450
								

									36
								

									2
								

									7
								

									6",Breakfast Breads,81g,290,15,6,0,0,760,37,2,4
Breakfast Breads,81g,290,15,6,0,0,760,37,2,4,4
Buttered Biscuit,81g,290,15,6,0,0,760,37,2,4,4
English Muffin,61g,140,2,0,0,0,220,29,1,1,5
4 ct Mini Yeast Rolls,70g,240,8,2.5,0,20,450,36,2,7,6

"Chick-fil-A® Chicken Sandwich




							183g
						

							420
						

							18
						

							3.5
						

							0
						

							70
						

							1460
						

							41
						

							1
						

							6
						

							29
						






										Chick-fil-A® Chicken Sandwich
									


									183g
								

									420
								

									18
								

									3.5
								

									0
								

									70
								

									1460
								

									41
								

									1
								

									6
								

									29",Chick-fil-A® Chicken Sandwich,183g,420,18,3.5,0,70,1460,41,1,6
Chick-fil-A® Chicken Sandwich,183g,420,18,3.5,0,70,1460,41,1,6,29
Chick-fil-A® Chicken Sandwich,183g,420,18,3.5,0,70,1460,41,1,6,29
"Chick-fil-A® Deluxe Sandwich




							247g
						

							490
						

							22
						

							6
						

							0
						

							85
						

							1700
						

							43
						

							1
						

							7
						

							32
						






										Chick-fil-A® Deluxe Sandwich w/ American
									


									247g
								

									490
								

									22
								

									6
								

									0
								

									85
								

									1700
								

									43
								

									1
								

									7
								

									32
								




										Chick-fil-A® Deluxe Sandwich w/ Colby Jack
									


									254g
								

									510
								

									24
								

									8
								

									0
								

									90
								

									1610
								

									43
								

									1
								

									7
								

									34
								




										Chick-fil-A® Deluxe Sandwich w/ Pepper Jack
									


									254g
								

									510
								

									24
								

									7
								

									0
								

									90
								

									1610
								

									43
								

									1
								

									7
								

									34
								




										Chick-fil-A® Deluxe Sandwich w/ No Cheese
									


									233g
								

									430
								

									18
								

									3.5
								

									0
								

									70
								

									1470
								

									43
								

									1
								

									7
								

									29",Chick-fil-A® Deluxe Sandwich,247g,490,22,6,0,85,1700,43,1,7
Chick-fil-A® Deluxe Sandwich,247g,490,22,6,0,85,1700,43,1,7,32
Chick-fil-A® Deluxe Sandwich w/ American,247g,490,22,6,0,85,1700,43,1,7,32
Chick-fil-A® Deluxe Sandwich w/ Colby Jack,254g,510,24,8,0,90,1610,43,1,7,34
Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,254g,510,24,7,0,90,1610,43,1,7,34
Chick-fil-A® Deluxe Sandwich w/ No Cheese,233g,430,18,3.5,0,70,1470,43,1,7,29
"Spicy Chicken Sandwich




							188g
						

							450
						

							19
						

							4
						

							0
						

							65
						

							1730
						

							45
						

							1
						

							6
						

							28
						






										Spicy Chicken Sandwich
									


									188g
								

									450
								

									19
								

									4
								

									0
								

									65
								

									1730
								

									45
								

									1
								

									6
								

									28",Spicy Chicken Sandwich,188g,450,19,4,0,65,1730,45,1,6
Spicy Chicken Sandwich,188g,450,19,4,0,65,1730,45,1,6,28
Spicy Chicken Sandwich,188g,450,19,4,0,65,1730,45,1,6,28
